[2024-03-08T10:18:20,707][INFO ][logstash.inputs.jdbc     ][main][4ed58ef97f79dc23ee469e9cb86abc5c2a62953c10756ad0084b3a955552ac5e] (0.006869s) SELECT * FROM elementanalyse 
[2024-03-08T10:18:22,123][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.003398s) SELECT * FROM typeelementresult  
[2024-03-08T10:18:22,125][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.002696s) SELECT * FROM tubeprelevement
[2024-03-08T10:18:22,128][INFO ][logstash.inputs.jdbc     ][main][3526f3b51287ffbb63dbf2b12e60c58866c3ef97c979e7c1caa6ae8ec0dc8943] (0.007020s) SELECT * FROM phrasiers
[2024-03-08T10:18:22,131][INFO ][logstash.inputs.jdbc     ][main][6306528dd682cc53dbcd8c45b2c123f75c4f6676f062f7f75f26dc0c07197863] (0.005744s) SELECT * FROM elementatb 
[2024-03-08T10:18:23,401][INFO ][logstash.inputs.jdbc     ][main][5447fc8cbf3c06871ccee0bf175a2d6be6122742c2e86a3266e23acc51d15772] (0.000355s) SELECT * FROM automate
[2024-03-08T10:18:23,401][INFO ][logstash.inputs.jdbc     ][main][7c56dfe22fbd8bf0973397811da6942a0b64b409c232562102a88f6ef4c47adf] (0.000451s) SELECT * FROM parametres  
[2024-03-08T10:18:23,405][INFO ][logstash.inputs.jdbc     ][main][096f89540caf784209fce40cad1ab279fa640c05386a467f9b62d201a1ef20a5] (0.000625s) SELECT * FROM automatesexamen 
[2024-03-08T10:19:00,543][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.000358s) SELECT * FROM piecejoints
[2024-03-08T10:19:00,545][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.003914s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:19:00,547][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.000466s) SELECT * FROM resultatatb 
[2024-03-08T10:19:00,675][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.000957s) SELECT * FROM stockreactif 
[2024-03-08T10:19:00,720][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.005168s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:19:08,379][INFO ][logstash.inputs.jdbc     ][main][6313eec7ec89ecfa017130fdce37ff9bdc876487edd7bd1b9158722c8c071197] (0.004956s) SELECT * FROM catagorie 
[2024-03-08T10:19:09,604][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.000484s) SELECT * FROM tubeprelevement
[2024-03-08T10:19:09,608][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.002739s) SELECT * FROM typeelementresult  
[2024-03-08T10:19:54,672][INFO ][logstash.inputs.jdbc     ][main][7c56dfe22fbd8bf0973397811da6942a0b64b409c232562102a88f6ef4c47adf] (0.003209s) SELECT * FROM parametres  
[2024-03-08T10:20:00,199][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.003806s) SELECT * FROM stockreactif 
[2024-03-08T10:20:00,207][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.003645s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:20:01,036][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.002131s) SELECT * FROM piecejoints
[2024-03-08T10:20:01,036][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.002132s) SELECT * FROM resultatatb 
[2024-03-08T10:20:01,039][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.003077s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:20:01,364][INFO ][logstash.inputs.jdbc     ][main][096f89540caf784209fce40cad1ab279fa640c05386a467f9b62d201a1ef20a5] (0.003345s) SELECT * FROM automatesexamen 
[2024-03-08T10:20:05,924][INFO ][logstash.inputs.jdbc     ][main][6306528dd682cc53dbcd8c45b2c123f75c4f6676f062f7f75f26dc0c07197863] (0.001041s) SELECT * FROM elementatb 
[2024-03-08T10:20:05,925][INFO ][logstash.inputs.jdbc     ][main][08f05123f4cb903c888fc00518c37a2f8cf98ff22c341aacb31b686836981769] (0.001545s) SELECT * FROM interpretation  
[2024-03-08T10:20:05,938][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.001881s) SELECT * FROM tubeprelevement
[2024-03-08T10:20:05,938][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.001901s) SELECT * FROM typeelementresult  
[2024-03-08T10:20:05,938][INFO ][logstash.inputs.jdbc     ][main][1a44522bdef834d30e4dbd0421149a117efb164b4078d385d6b8001292b10a94] (0.002170s) SELECT * FROM analyse
[2024-03-08T10:20:05,940][INFO ][logstash.inputs.jdbc     ][main][f8b178a2362cb2a9571466ab198345bce49c97de71ad24d96abe363b0a9f4a3f] (0.004160s) SELECT * FROM valeursnormales 
[2024-03-08T10:20:05,945][INFO ][logstash.inputs.jdbc     ][main][ab4f94295b188df6883a82a66a058300ba7235cc7c504b1e920873f13ae044c9] (0.006489s) SELECT * FROM examen 
[2024-03-08T10:21:00,569][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.002949s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:21:00,570][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.001902s) SELECT * FROM piecejoints
[2024-03-08T10:21:00,571][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.002898s) SELECT * FROM resultatatb 
[2024-03-08T10:21:00,744][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.000859s) SELECT * FROM stockreactif 
